dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate,norm_error_rate:mean,norm_error_rate:std,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:std,ece,ece:mean,ece:std,cal_loss_bias,cal_loss_bias:mean,cal_loss_bias:std,norm_min_calibration_bias,norm_min_calibration_bias:mean,norm_min_calibration_bias:std
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.172 ± 0.034,0.1724299065420561,0.034446574755106756,0.330 ± 0.045,0.3301111056366324,0.04496648277857675,0.032 ± 0.013,0.03159921596241774,0.012910364177712306,11.831 ± 8.132,11.831418,8.132211,0.288 ± 0.020,0.28795552,0.01980739
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.326 ± 0.007,0.32616822429906545,0.006867728250793961,0.532 ± 0.012,0.5323435743075275,0.011889003423807786,0.032 ± 0.009,0.03172959133093139,0.009338326278430259,4.971 ± 2.176,4.9705243,2.1758707,0.506 ± 0.001,0.5056212,0.00085768756
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.318 ± 0.000,0.31775700934579443,0.0,0.683 ± 0.000,0.6827604532693797,0.0003676292735829293,0.176 ± 0.001,0.17618459102109169,0.0010004615352462028,25.944 ± 0.086,25.943981,0.085654214,0.506 ± 0.001,0.50562173,0.00085717166
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.309 ± 0.007,0.3088785046728971,0.006508592652889782,0.682 ± 0.000,0.682056906397773,0.00042464805372896574,0.186 ± 0.004,0.18572683821264896,0.0037811155022988516,25.868 ± 0.091,25.867685,0.090959236,0.506 ± 0.001,0.5056211,0.000857639
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.318 ± 0.000,0.31775700934579443,0.0,0.521 ± 0.005,0.5206495784000816,0.00472581803875143,0.031 ± 0.012,0.0313345211439868,0.012042747931572432,2.878 ± 0.837,2.878278,0.83652616,0.506 ± 0.001,0.50562125,0.000857459
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.559 ± 0.032,0.5589793915603533,0.03219293813309168,0.796 ± 0.113,0.7963326153995236,0.11304513527396505,0.247 ± 0.058,0.24669204059340383,0.058477938595857294,46.676 ± 6.284,46.67626,6.2839413,0.418 ± 0.017,0.4176752,0.017032817
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.470 ± 0.022,0.4704331978129819,0.021809994578315745,0.495 ± 0.020,0.49528154596948415,0.01976667626903727,0.049 ± 0.016,0.0491957612109222,0.01572962081818212,11.323 ± 3.485,11.323253,3.4854565,0.439 ± 0.000,0.43850976,7.613711e-05
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.833 ± 0.000,0.8327565097757059,3.0033250172984093e-05,0.243 ± 0.000,0.24274994387668108,0.00019880333680132332,47.342 ± 0.007,47.34226,0.007260336,0.439 ± 0.000,0.43850964,7.630011e-05
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.476 ± 0.022,0.47553624001121547,0.021822859292309302,0.513 ± 0.017,0.5128088679544549,0.01741116053127524,0.086 ± 0.024,0.08582116747325799,0.023817593294710816,14.391 ± 2.866,14.391134,2.866474,0.439 ± 0.000,0.4385097,7.614437e-05
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.605 ± 0.000,0.6045142296368989,0.00034340245938354247,0.678 ± 0.001,0.67832332851284,0.0008242263300522217,0.045 ± 0.012,0.044500439170168236,0.011970191759492292,35.354 ± 0.079,35.35363,0.0787597,0.439 ± 0.000,0.43850964,7.615413e-05
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,affine_scalar,test,0.315 ± 0.080,0.31512280701754386,0.08030515821814924,0.434 ± 0.075,0.4343986360727031,0.07486601910454391,0.049 ± 0.021,0.048775793136032065,0.021296365409236226,24.891 ± 11.307,24.890635,11.306694,0.318 ± 0.009,0.31798476,0.009266641
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,no_calibration,test,0.312 ± 0.086,0.3122105263157895,0.08577555944995943,0.426 ± 0.077,0.4263411319653275,0.07651958374736335,0.047 ± 0.020,0.047425364971769045,0.019793431528063902,23.426 ± 11.225,23.426434,11.22526,0.318 ± 0.009,0.31798476,0.009266638
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,bias_only,test,0.317 ± 0.075,0.31726315789473686,0.07513456482632015,0.432 ± 0.070,0.4318420423294723,0.06983867434630414,0.040 ± 0.022,0.04019798002767051,0.021543274187165066,24.709 ± 10.456,24.70895,10.455741,0.318 ± 0.009,0.31798485,0.009266737
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora_xval,temp_scaling,test,0.312 ± 0.086,0.3122105263157895,0.08577555944995943,0.431 ± 0.079,0.43067241438505555,0.07900358434587783,0.052 ± 0.022,0.05208030125720096,0.02184173664772073,24.090 ± 11.483,24.089933,11.4832,0.318 ± 0.009,0.31798476,0.009266633
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.312 ± 0.086,0.3122105263157895,0.08577555944995943,0.426 ± 0.077,0.4263411319653275,0.07651958374736335,0.047 ± 0.020,0.047425364971769045,0.019793431528063902,23.426 ± 11.225,23.426434,11.22526,0.318 ± 0.009,0.31798476,0.009266638
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.320 ± 0.030,0.3196140350877193,0.030498353799632106,0.451 ± 0.033,0.45138440640371513,0.0327756599455733,0.054 ± 0.025,0.0540919054640665,0.024618453402830278,13.280 ± 5.958,13.279688,5.9582977,0.389 ± 0.000,0.38949376,0.0002391472
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.991 ± 0.001,0.990595834139592,0.0006628131230556093,0.125 ± 0.000,0.12469582675813391,3.547996548017458e-05,60.681 ± 0.002,60.68086,0.0021659548,0.389 ± 0.000,0.3894937,0.00023916419
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.315 ± 0.038,0.31480701754385965,0.03810154742634391,0.444 ± 0.034,0.4438028315125616,0.03423822700478842,0.055 ± 0.018,0.05536906325457469,0.017740066489205928,11.758 ± 6.221,11.757886,6.2206993,0.389 ± 0.000,0.3894937,0.00023919341
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.410 ± 0.000,0.4103859649122807,0.00017189401703740568,0.768 ± 0.018,0.7681803696507866,0.01759905598492156,0.159 ± 0.060,0.158955170823111,0.059884705106815095,49.270 ± 1.151,49.2702,1.1512913,0.389 ± 0.000,0.38949373,0.00023917636
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,0.021 ± 0.004,0.02101494396014944,0.004039831653910642,0.029 ± 0.006,0.02871671934695571,0.005647907645551356,0.005 ± 0.002,0.0045184954566012845,0.00229778374464326,29.029 ± 13.925,29.028606,13.924939,0.020 ± 0.000,0.01960149,0.00024246876
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,0.145 ± 0.001,0.14492528019925283,0.001470201613090622,0.159 ± 0.000,0.15945118191540406,0.0003631336729063766,0.021 ± 0.003,0.02149920008761714,0.0031318659841931096,0.713 ± 0.242,0.7133743,0.2424507,0.158 ± 0.000,0.15831262,0.0001911908
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,0.401 ± 0.000,0.4007238480697385,6.740546418000864e-05,1.366 ± 0.000,1.3662696995168444,0.0002955945007469674,0.091 ± 0.000,0.09077489319008944,0.0001662700904174476,88.417 ± 0.010,88.417076,0.0098547125,0.158 ± 0.000,0.15825363,0.00016894298
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,0.152 ± 0.002,0.15202366127023664,0.0018434459954031698,0.221 ± 0.000,0.22057799714237877,0.00018437121207824728,0.184 ± 0.003,0.1837702531503077,0.0027172316393145896,28.228 ± 0.104,28.228144,0.1036234,0.158 ± 0.000,0.1583125,0.00019104475
dbpedia,256,3584,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,0.401 ± 0.000,0.400747198007472,7.626057729713764e-05,0.869 ± 0.001,0.8693113232844107,0.0012890064047582396,0.406 ± 0.018,0.4058591223064981,0.01809248027096953,81.789 ± 0.039,81.78865,0.039020427,0.158 ± 0.000,0.15831259,0.00019094863
